                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.39163,                0.32562,                0.55339,                0.81838,                0.99743,                      1,                  0.995,                0.91668,                0.99743,                      1,                  0.995,                0.93846,                0.38751,                0.46892,                0.66911,                0.77616,             0.00050547,             0.00050547,             0.00050547
                     45,                0.35655,                0.33398,                0.53478,                 0.8085,                0.99743,                      1,                  0.995,                0.91668,                0.99743,                      1,                  0.995,                0.93846,                0.38751,                0.46892,                0.66911,                0.77616,             0.00048772,             0.00048772,             0.00048772
                     46,                0.37405,                0.34093,                 0.5948,                0.81797,                0.99743,                      1,                  0.995,                0.91668,                0.99743,                      1,                  0.995,                0.93846,                0.38751,                0.46892,                0.66911,                0.77616,             0.00046865,             0.00046865,             0.00046865
                     47,                0.38153,                0.30159,                 0.5521,                 0.8143,                0.99749,                      1,                  0.995,                0.94132,                0.99749,                      1,                  0.995,                0.94091,                0.34355,                0.50754,                0.61986,                0.75882,             0.00044826,             0.00044826,             0.00044826
                     48,                0.36646,                0.34722,                0.54787,                0.82931,                0.99749,                      1,                  0.995,                0.94132,                0.99749,                      1,                  0.995,                0.94091,                0.34355,                0.50754,                0.61986,                0.75882,             0.00042655,             0.00042655,             0.00042655
                     49,                0.35801,                0.36993,                0.51959,                0.80274,                0.99749,                      1,                  0.995,                0.94132,                0.99749,                      1,                  0.995,                0.94091,                0.34355,                0.50754,                0.61986,                0.75882,             0.00040352,             0.00040352,             0.00040352
                     50,                0.37622,                0.35146,                0.57615,                0.81032,                0.99765,                      1,                  0.995,                0.95612,                0.99765,                      1,                  0.995,                0.93432,                0.33615,                0.46327,                0.61209,                0.75536,             0.00037917,             0.00037917,             0.00037917
                     51,                0.33564,                0.42411,                0.60059,                0.77567,                0.99765,                      1,                  0.995,                0.95612,                0.99765,                      1,                  0.995,                0.93432,                0.33615,                0.46327,                0.61209,                0.75536,                0.00035,                0.00035,                0.00035
                     52,                0.34678,                0.40108,                0.65259,                0.80101,                0.99765,                      1,                  0.995,                0.95612,                0.99765,                      1,                  0.995,                0.93432,                0.33615,                0.46327,                0.61209,                0.75536,                0.00035,                0.00035,                0.00035
                     53,                0.35275,                0.42377,                 0.6073,                0.78831,                0.99777,                      1,                  0.995,                0.94997,                0.99777,                      1,                  0.995,                0.95086,                0.34062,                0.40181,                0.60449,                0.75875,               0.000317,               0.000317,               0.000317
                     54,                0.34251,                0.31177,                0.61728,                0.78433,                0.99777,                      1,                  0.995,                0.94997,                0.99777,                      1,                  0.995,                0.95086,                0.34062,                0.40181,                0.60449,                0.75875,               0.000284,               0.000284,               0.000284
                     55,                0.33763,                0.30165,                0.63451,                0.76638,                0.99777,                      1,                  0.995,                0.94997,                0.99777,                      1,                  0.995,                0.95086,                0.34062,                0.40181,                0.60449,                0.75875,               0.000251,               0.000251,               0.000251
                     56,                0.31614,                 0.2946,                0.56439,                0.79417,                 0.9977,                      1,                  0.995,                0.94118,                 0.9977,                      1,                  0.995,                0.93932,                0.33789,                0.39524,                0.57754,                0.75792,               0.000218,               0.000218,               0.000218
                     57,                0.33856,                0.30838,                 0.6207,                0.79284,                 0.9977,                      1,                  0.995,                0.94118,                 0.9977,                      1,                  0.995,                0.93932,                0.33789,                0.39524,                0.57754,                0.75792,               0.000185,               0.000185,               0.000185
                     58,                0.30136,                0.28791,                0.58097,                0.77976,                 0.9977,                      1,                  0.995,                0.94118,                 0.9977,                      1,                  0.995,                0.93932,                0.33789,                0.39524,                0.57754,                0.75792,               0.000152,               0.000152,               0.000152
                     59,                0.30256,                0.29782,                 0.5702,                0.78016,                0.99738,                      1,                  0.995,                0.95275,                0.99738,                      1,                  0.995,                 0.9517,                0.33233,                0.38663,                0.54249,                0.75502,               0.000119,               0.000119,               0.000119
                     60,                 0.3141,                0.30718,                0.55863,                0.78529,                0.99738,                      1,                  0.995,                0.95275,                0.99738,                      1,                  0.995,                 0.9517,                0.33233,                0.38663,                0.54249,                0.75502,                8.6e-05,                8.6e-05,                8.6e-05
